Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,Name,Roaster,Rating,With Milk,Acidity
"Henderson, Nevada","Volcan, Panama",Light,64/84,$49.95/8 ounces,July 2021,9.0,9.0,9.0,9.0,8.0,Mojave Vault Series Geisha Natural,Dragonfly Coffee Roasters,94.0,,
"Durango, Colorado","Vereda, Huila Province, Colombia",Medium-Light,56/74,$19.95/12 ounces,July 2021,8.0,8.0,8.0,9.0,8.0,Colombia Black Condor,Durango Coffee Company,91.0,,
"Hong Kong, China",Brazil; Papua New Guinea; Indonesia,Medium-Light,56/76,HKD $118/200 grams,July 2021,9.0,8.0,9.0,9.0,8.0,Choco Blend,NINETYs Roastery,93.0,,
"Madison, Wisconsin","Kabiufa, Eastern Highlands, Papua New Guinea",Light,60/82,$16.00/12 ounces,July 2021,9.0,9.0,9.0,9.0,8.0,Kabiufa Papua New Guinea,JBC Coffee Roasters,94.0,,
"New Taipei City, Taiwan","Guji Zone, Oromia Region, Hambela Woreda, Ethiopia",Medium-Light,60/78,NT $350/227 grams,July 2021,9.0,9.0,9.0,9.0,8.0,Ethiopia Buku Abela,Home in Harmony,94.0,,
"Manlius, New York","Aratoca, Santander Department, Colombia",Medium-Light,58/78,$18.00/12 ounces,July 2021,9.0,9.0,9.0,9.0,9.0,Colombia Finca Santa Maria,SkyTop Coffee,95.0,,
"Henderson, Nevada","Sana’a growing region, Yemen",Light,63/83,$35.00/8 ounces,July 2021,9.0,9.0,9.0,9.0,8.0,Yemen Mocha Haimi,Dragonfly Coffee Roasters,94.0,,
"Yilan, Taiwan","El Guarco, Cartago Province, Costa Rica",Light,62/80,NT $600/200 grams,July 2021,9.0,9.0,9.0,9.0,8.0,Costa Rica Hacienda Tobosi Villalobos Anaerobic Natural,GK Coffee,94.0,,
"Manlius, New York","Santander Department, Colombia",Medium,56/64,$27.00/12 ounces,July 2021,9.0,9.0,9.0,9.0,8.0,Colombia Wush Wush,SkyTop Coffee,94.0,,
"Osaka, Japan","Minas Gerais State, southeastern Brazil",Light,82/104,¥2980/100 grams,July 2021,9.0,9.0,9.0,9.0,8.0,Brazil Gauriroba Natural,SOT Coffee Roaster,94.0,,
"Taoyuan, Taiwan","Rutsiro District, western Rwanda",Medium-Dark,42/58,NT $800/8 ounces,July 2021,9.0,,9.0,9.0,8.0,Rwanda “Silverback Returns”,Simon Hsieh Aroma Roast Coffees,94.0,9.0,
"Henderson, Nevada","Sana’a growing region, Yemen",Medium-Light,60/80,$35.00/8 ounces,July 2021,9.0,9.0,8.0,9.0,8.0,Yemen Mocha Khulani,Dragonfly Coffee Roasters,93.0,,
"Taoyuan, Taiwan","Jaen, Cajamarca, Peru",Medium-Dark,40/60,NT $600/8 ounces,July 2021,8.0,,9.0,9.0,8.0,Peru “El Dorado”,Simon Hsieh Aroma Roast Coffees,93.0,9.0,
"Henderson, Nevada","Sana’a growing region, Yemen",Medium-Light,62/78,$35.00/8 ounces,July 2021,9.0,8.0,9.0,9.0,8.0,Yemen Mocha Harazi,Dragonfly Coffee Roasters,93.0,,
"Yuanlin, Taiwan",Brazil; Colombia; Guatemala,Medium-Light,57/77,NT $380/12 ounces,July 2021,9.0,8.0,8.0,9.0,8.0,Top Blend 2,Forest Roasting,92.0,,
"Yuanlin, Taiwan",Panama; Ethiopia; Costa Rica,Medium-Light,58/76,NT $380/12 ounces,July 2021,9.0,9.0,8.0,9.0,8.0,Top Blend 1,Forest Roasting,93.0,,
"Sapporo, Japan",Colombia; Ecuador; Indonesia; Uganda,Medium-Dark,42/56,$48.00/12 ounces,July 2021,8.0,,8.0,9.0,7.0,Quattoro Mountain Blend,Japanese Coffee Co.,91.0,9.0,
"Yilan, Taiwan","Ipanema, Brazil",,0/0,NT $200/160-ml bottle,July 2021,9.0,,9.0,9.0,8.0,Brazil Ipanema Golden Edition C26 Lychee,GK Coffee,94.0,9.0,
"Spokane, Washington","Guji Zone, Oromia Region, Ethiopia",,0/0,$5.50/12-ounce bottle,July 2021,9.0,,9.0,9.0,8.0,Ethiopia Mormora Cold Brew,Roast House,94.0,9.0,
"New Taipei City, Taiwan",Ethiopia,,0/0,$2.00/200-ml bottle,July 2021,9.0,,9.0,9.0,8.0,Ethiopia Blend Cold Brew,Auto Coffee,93.0,8.0,
"Chicago, Illinois",Ethiopia; Uganda; Colombia,,0/0,$35.00/six 8-ounce cans,July 2021,9.0,,8.0,9.0,8.0,Black Cold Brew,Big Shoulders Coffee,93.0,9.0,
"San Jose, California",Brazil; Ethiopia; Guatemala,,0/0,$4.49/280 ml can,July 2021,9.0,,8.0,9.0,8.0,Kyoto Iced Coffee,Chromatic x Dripdash Collab,93.0,9.0,
"Grove City, Pennsylvania",Kenya,,0/0,$4.00/12-ounce bottle,July 2021,9.0,,8.0,9.0,8.0,Kenya Cold Brew,Collage Coffee,93.0,9.0,
"Denver, Colorado",Ethiopia; Brazil,,0/0,$14.00/four 8-ounce cans,July 2021,9.0,,8.0,9.0,9.0,Dead Reckoning,Corvus Coffee,93.0,8.0,
"Martinez, California",Guatemala; Ethiopia,,0/0,$4.25/12-ounce bottle,July 2021,8.0,,8.0,9.0,9.0,Cold Brew,States Coffee,93.0,9.0,
"Kihei, Maui, Hawai’i",Colombia; Guatemala,,0/0,$25.00/six 12-ounce cans,July 2021,9.0,,8.0,9.0,8.0,Cold Brew Coffee,Origin Coffee Roasters,92.0,8.0,
"Emeryville, California",Guatemala; Costa Rica; Papua New Guinea,,0/0,$33.00/twelve 6-ounce cans,July 2021,8.0,,9.0,9.0,8.0,Flash Brewed Coffee,Highwire Coffee,93.0,9.0,
"Madison, Wisconsin","Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,58/78,$18.00/12 ounces,July 2021,9.0,9.0,9.0,9.0,9.0,Gigesa Natural,JBC Coffee Roasters,95.0,,
"Madison, Wisconsin","Rosario de Desamparados, Tarrazú, Costa Rica",Medium-Light,60/78,$16.00/8 ounces,July 2021,9.0,9.0,9.0,9.0,9.0,El Jocote Natural,JBC Coffee Roasters,95.0,,
"Chicago, Illinois","Finca Santa Teresa, Volcan, Panama",Medium-Light,60/78,$87.00/12 ounces,July 2021,9.0,9.0,9.0,9.0,8.0,Panama Finca Santa Teresa Summer Gesha,Big Shoulders Coffee,94.0,,
"San Diego, California","Caicedonia, Valle de Cauca Department, Colombia",Medium-Light,60/77,$28.00/12 ounces,July 2021,9.0,9.0,9.0,9.0,8.0,Baby Dragons,Nostalgia Coffee Roasters,94.0,,
"Chicago, Illinois","Tolima Department, Colombia",Medium-Light,56/78,$25.00/12 ounces,July 2021,9.0,8.0,9.0,9.0,8.0,Colombia Lagoon Java Anaerobic,Big Shoulders Coffee,93.0,,
"Taichung, Taiwan","Cundinamarca Department, central Colombia",Medium-Light,58/78,NT $500/150 grams,July 2021,9.0,8.0,9.0,9.0,8.0,Colombia La Palma y El Tucan,Le Brewlife,93.0,,
"Chicago, Illinois","Pitalito-Bruselas, Huila Department, Colombia",Medium-Light,58/76,$25.00/12 ounces,July 2021,9.0,9.0,8.0,9.0,8.0,Colombia Pink Bourbon Farmer Collaboration,Big Shoulders Coffee,93.0,,
"Taichung, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,62/80,NT $650/150 grams,July 2021,9.0,9.0,8.0,9.0,8.0,Ethiopia Wush Wush G1,Le Brewlife,93.0,,
"Taichung, Taiwan","Blue Mountain growing region, eastern Jamaica.",Light,64/82,NT $1450/150 grams,July 2021,9.0,8.0,8.0,9.0,8.0,Jamaica Blue Mountain,Le Brewlife,92.0,,
"Taichung, Taiwan",Not disclosed,Medium-Light,52/70,NT $350/250 grams,July 2021,8.0,,9.0,8.0,8.0,Le Brewlife Espresso Blend,Le Brewlife,92.0,9.0,
"Pahala, Hawaii","Kona growing region, Big Island of Hawai’i",Medium-Light,58/80,$25.00/4 ounces,June 2021,9.0,9.0,9.0,9.0,9.0,Kona Maragogype Peaberry Natural,Rusty’s Hawaiian,95.0,,
"Johns Creek, Georgia","Pichincha Province, Ecuador",Light,62/80,$45.00/12 ounces,June 2021,9.0,9.0,9.0,9.0,8.0,Ecuador San José de Minas Double-Anaerobic,Peach Coffee Roasters,94.0,,
"Johns Creek, Georgia","Huila Department, Colombia",Medium-Light,52/72,$28.99/12 ounces,June 2021,9.0,9.0,8.0,9.0,8.0,Colombia Bandida Lactic Natural,Peach Coffee Roasters,93.0,,
"Madison, Wisconsin","Nyeri growing region, Kenya",Medium-Light,58/80,$20.50/12 ounces,June 2021,9.0,9.0,9.0,9.0,9.0,Nyeri Hill Kenya,JBC Coffee Roasters,95.0,,
"Madison, Wisconsin","Pichincha Province, Ecuador",Medium-Light,56/76,$21.00/12 ounces,June 2021,9.0,,9.0,9.0,9.0,La Perla Chiquita Ecuador,JBC Coffee Roasters,95.0,,9.0
"Madison, Wisconsin","Aceh Province, Sumatra, Indonesia",Medium-Light,56/74,$17.90/12 ounces,June 2021,9.0,,9.0,9.0,8.0,Pantan Musara Sumatra,JBC Coffee Roasters,94.0,9.0,
"Madison, Wisconsin","San Isidro, Acevedo, Huila, Colombia",Medium-Light,58/78,$20.00/12 ounces,June 2021,9.0,9.0,9.0,9.0,8.0,Las Flores Colombia,JBC Coffee Roasters,94.0,,
"Bozeman, Montana",Colombia; El Salvador; Ethiopia,Medium,49/63,$16.95/12 ounces,June 2021,9.0,,8.0,9.0,8.0,Snowfield Espresso Blend,RamsHead Coffee Roasters,93.0,9.0,
"Bozeman, Montana",El Salvador; Guatemala,Medium,52/68,$15.95/12 ounces,June 2021,9.0,8.0,9.0,9.0,8.0,Pandemic Pacamara Blend,RamsHead Coffee Roasters,93.0,,
"Minneapolis, Minnesota","Matagalpa, Nicaragua",Light,62/80,$29.95/4 ounces,June 2021,9.0,9.0,9.0,9.0,8.0,Nicaragua Yellow Pacamara Natural,Paradise Roasters,94.0,,
"Nashville, Tennessee","Western Highlands, Papua New Guinea",Medium-Light,52/70,$15.99/12 ounces,June 2021,9.0,8.0,8.0,9.0,8.0,Papua New Guinea Sigri Estate Medium Roast,Raggiana Coffee,92.0,,
"Taichung City, Taiwan","Guji Zone, southern Ethiopia",Medium-Light,52/70,$24.00/12 ounces,June 2021,9.0,9.0,9.0,9.0,9.0,Ethiopia West Arsi Nensebo Natural G1,Pro Aroma Enterprise Coffee,95.0,,
"Kaohsiung, Taiwan",Ethiopia; Colombia; Brazil; Tanzania; Indonesia,Medium,50/66,NT $350/16 ounces,June 2021,8.0,,8.0,8.0,8.0,Pamma Classic Blend Espresso,Pamma Coffee,91.0,9.0,
"Taichung City, Taiwan","Sidamo Zone, Oromia Region, Ethiopia",Light,62/80,$20.00/12 ounces,June 2021,9.0,9.0,9.0,9.0,8.0,Ethiopia Sidama Bona Sweet Natural,Pro Aroma Enterprise Coffee,94.0,,
"Houston, Texas","South Kivu growing region, Democratic Republic of the Congo",Medium-Light,56/74,$20.00/12 ounces,June 2021,9.0,9.0,9.0,9.0,8.0,Congo Square,Three Keys Coffee,94.0,,
"Hamilton, Montana","Northern Province, Rwanda",Medium-Light,60/78,$17.00/12 ounces,June 2021,9.0,9.0,9.0,9.0,8.0,Rwanda Rulindo Tumba,Big Creek Coffee Roasters,94.0,,
"Lexington, Virginia","Songwe Region, Mbozi District, Tanzania",Medium-Light,58/78,$16.95/12 ounces,June 2021,9.0,9.0,9.0,9.0,8.0,Tanzania Sambewe,Lexington Coffee Roasters,94.0,,
"Topeka, Kansas","Northern Province, Rwanda",Medium-Light,58/78,$21.50/12 ounces,June 2021,9.0,9.0,9.0,9.0,8.0,Rwanda Kinini Village Natural,PT's Coffee Roasting Co.,94.0,,
"Suwanee, Georgia","Ngorongoro Crater region, northern Tanzania",Medium-Light,53/71,$17.99/16 ounces,June 2021,9.0,9.0,9.0,9.0,8.0,Tanzania Peaberry,Volcanica Coffee,94.0,,
"Ukiah, California","Gakenke growing region, Rwanda",Medium-Light,54/74,$17.50/12 ounces,June 2021,9.0,8.0,9.0,9.0,8.0,Rwanda Dukunde Kawa,Black Oak Coffee Roasters,93.0,,
"Olympia, Washington","Kayanza State, Burundi",Light,62/80,$22.50/12 ounces,June 2021,9.0,8.0,9.0,9.0,8.0,Burundi Mikuba Honey Microlot 1,Olympia Coffee,93.0,,
"Tochigi, Japan","Huye District, Rwanda",Light,74/94,"¥1,050/100 grams",June 2021,9.0,8.0,9.0,9.0,8.0,Rwanda Simbi,Mamechamame Coffee,93.0,,
"Chia-Yi, Taiwan","Nyaruguru District, Rwanda",Medium-Light,58/78,NT $220/8 ounces,June 2021,9.0,8.0,9.0,9.0,8.0,Rwanda Akagera CWS Fully Washed Lot 9,Kakalove Cafe,93.0,,
"Salisbury, Massachusetts","Kayanza State, Burundi",Medium,46/64,$15.99/10 ounces,June 2021,9.0,8.0,8.0,9.0,8.0,Burundi Kinyovu,Valverde Coffee Roasters,92.0,,
"Minneapolis, Minnesota","Ngorogoro, Tanzania",Light,60/84,$24.95/12 ounces,June 2021,9.0,9.0,9.0,9.0,9.0,Tanzania Ngila Estate SL28,Paradise Roasters,95.0,,
"Chia-Yi, Taiwan","Sidama Zone, Oromia Region, Ethiopia",Medium-Light,60/78,NT $290/8 ounces,June 2021,9.0,9.0,9.0,10.0,9.0,Ethiopia Washed Sidama Nafasha 74158 21/01,Kakalove Cafe,96.0,,
"Floyd, Virginia","Uraga District, Guji Zone, Ethiopia",Medium-Light,58/78,$20.49/12 ounces,June 2021,9.0,9.0,9.0,9.0,9.0,Ethiopia Tibe Haro Uraga,Red Rooster Coffee Roaster,95.0,,
"Chia-Yi, Taiwan","Alishan, Chia-Yi, Taiwan",Medium-Light,58/78,NT $700/4 ounces,June 2021,9.0,9.0,9.0,9.0,9.0,Taiwan Natural Alishan TFU’YA Kakalove Lot,Kakalove Cafe,95.0,,
"Chia-Yi, Taiwan","Guji Zone, Oromia Region, Ethiopia",Light,60/82,NT $325/8 ounces,June 2021,9.0,9.0,9.0,9.0,9.0,Ethiopia Natural Guji Blue Donkey 21/01,Kakalove Cafe,95.0,,
"Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,58/76,NT $325/8 ounces,June 2021,9.0,9.0,9.0,9.0,8.0,Kenya Nyeri Gachatha Washed AB,Kakalove Cafe,94.0,,
"Chia-Yi, Taiwan","Rutsiro, Western Province, Rwanda",Medium-Light,59/79,NT $300/8 ounces,June 2021,9.0,8.0,9.0,9.0,8.0,Rwanda Natural Rutsiro Bugoyi 60-hour Fermentation,Kakalove Cafe,93.0,,
"Yilan, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,60/78,NT $500/200 grams,June 2021,9.0,9.0,9.0,9.0,9.0,Ethiopia Yirgacheffe G1 Mulugeta Tsige,GK Coffee,95.0,,
"Yilan, Taiwan","Kirinyaga, Kenya",Medium-Light,58/76,NT $550/200 grams,June 2021,9.0,9.0,9.0,9.0,8.0,Kenya AA Top Gathambi Station,GK Coffee,94.0,,
"Yilan, Taiwan","Gerbicho Rogicha, Bule Hora District, Guji Zone, Oromia Region, Ethiopia",Medium-Light,56/76,NT $450/200 grams,June 2021,9.0,,9.0,9.0,8.0,Ethiopia Guji Gerba Station G1 Natural Espresso,GK Coffee,94.0,9.0,
"Redding, California","Sidamo growing region, south-central Ethiopia",Medium-Light,60/77,$30.00/300 grams,June 2021,9.0,9.0,9.0,9.0,8.0,Ethiopia Keramo Village,Theory Coffee Roasters,94.0,,
"Bozeman, Montana","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/78,$17.95/12 ounces,may-21,9.0,9.0,9.0,9.0,8.0,Ethiopia Uraga Washed G1,RamsHead Coffee Roasters,94.0,,
"Thermopolis, Wyoming","Nyamagabe District, Southern Province, Rwanda",Medium-Light,60/78,$14.00/12 ounces,may-21,9.0,8.0,8.0,9.0,8.0,Rwanda Nyruzisa Station,Jackrabbit Java,92.0,,
"Bozeman, Montana","Mount Kenya growing region, Kenya",Medium-Light,56/74,$17.95/12 ounces,may-21,8.0,8.0,9.0,9.0,8.0,Kenya Lenana AA Plus,RamsHead Coffee Roasters,92.0,,
"Thermopolis, Wyoming","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,56/74,$14.00/12 ounces,may-21,8.0,8.0,8.0,9.0,8.0,Ethiopia Sidamo Natural Water Decaf,Jackrabbit Java,91.0,,
"Bozeman, Montana",El Salvador; Colombia; Ethiopia,Medium-Light,60/78,$15.95/12 ounces,may-21,9.0,8.0,8.0,9.0,8.0,Grizzly Peak Blend,RamsHead Coffee Roasters,92.0,,
"Chicago, Illinois","Nyeri growing region, south-central Kenya",Medium-Light,56/76,$22.00/12 ounces,may-21,9.0,9.0,9.0,9.0,9.0,Kenya Karindudu AA,Big Shoulders Coffee,95.0,,
"San Diego, California","Santa Barbara, Antioquia Department, Colombia",Light,62/80,$25.00/12 ounces,may-21,9.0,9.0,9.0,9.0,8.0,Colombia Cardona Natural,Nostalgia Coffee Roasters,94.0,,
"Chicago, Illinois","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,57/73,$25.00/12 ounces,may-21,9.0,9.0,9.0,9.0,8.0,Ethiopia Guji Anaerobic,Big Shoulders Coffee,94.0,,
"Bogota, Colombia","Risaralda, Colombia",Medium-Light,56/72,$24.99/12 ounces,may-21,9.0,9.0,9.0,9.0,8.0,Maypop,Lina Premium Coffee,94.0,,
"Madison, Wisconsin","Jaén Province, Cajamarca Region, Peru",Medium-Light,56/74,$15.80/12 ounces,may-21,9.0,8.0,9.0,9.0,8.0,Norte Peru,JBC Coffee Roasters,93.0,,
"Bogota, Colombia","Risaralda, Colombia",Medium-Light,56/74,$24.75/12 ounces,may-21,8.0,8.0,8.0,9.0,7.0,Trivarietal,Lina Premium Coffee,90.0,,
"Madison, Wisconsin","Urrao, Antioquia Department, Colombia",Medium-Light,58/80,$18.00/8 ounces,may-21,9.0,9.0,9.0,9.0,8.0,La Soledad Colombia,JBC Coffee Roasters,94.0,,
"Sherbrooke, Quebec, Canada",Peru; Ethiopia,Medium,46/60,$19.50/12 ounces,may-21,8.0,,9.0,8.0,8.0,Fjord Espresso Blend,Café Hubert Saint-Jean,92.0,9.0,
"New Taipei City, Taiwan","Veracruz, Mexico",Light,62/84,NT $450/225 grams,may-21,9.0,8.0,9.0,9.0,8.0,Natural Mexico Ixhuatlan del Cafe,Ming's Coffee Playroom,93.0,,
"Chicago, Illinois","Huila Department, Colombia",Medium-Light,57/77,$25.00/12 ounces,may-21,9.0,9.0,9.0,9.0,8.0,Colombia Huila Acevedo El Paraiso,Big Shoulders Coffee,94.0,,
"Mexico City, Mexico","Chiapas State, Mexico",Medium,52/68,$19.50/12 ounces,may-21,8.0,8.0,9.0,9.0,7.0,100% Organic Specialty Arabica,Colibrije Specialty Coffee,91.0,,
"Nantou, Taiwan","Los Angeles, Sabanilla de Alajuela, Costa Rica",Medium-Light,58/80,NT $500/227 grams,may-21,9.0,9.0,9.0,10.0,9.0,Love of Desolate,Desolate Cafe,96.0,,
"Taipei, Taiwan",Ethiopia; Colombia; Panama; Mexico,Medium-Light,54/74,NT $420/200 grams,may-21,9.0,,9.0,9.0,9.0,Blend No.7 Berrichee,Quartet Kaffe,95.0,9.0,
"Nantou, Taiwan","Hayisa Village, Bure Woreda, Sidama Zone, Ethiopia",Medium-Light,60/78,NT $900/227 grams,may-21,9.0,9.0,9.0,9.0,8.0,Ethiopia Niguse Gemeda Mude Natural,Desolate Cafe,94.0,,
"Yilan, Taiwan","Nyamagabe District, Southern Province, Rwanda",Light,62/84,NT $320/200 grams,may-21,9.0,8.0,9.0,9.0,8.0,Rwanda Nyamagabe Kigeme Lot #4,Small Eyes Cafe,93.0,,
"Denver, Colorado","Tolima Department, Colombia",Medium-Light,59/77,$30.00/150-gram tin,may-21,9.0,9.0,9.0,9.0,9.0,La Estrella Carbonic Geisha Reserve,Corvus Coffee Roasters,95.0,,
"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,57/77,NT $560/227 grams,may-21,9.0,9.0,9.0,9.0,9.0,Ethiopia Guji Wush Wush Anaerobic Natural,Coffee Please,95.0,,
"Minneapolis, Minnesota","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/77,$24.95/12 ounces,may-21,9.0,9.0,9.0,9.0,9.0,Ethiopia Guji Wush Wush,Paradise Roasters,95.0,,
"San Diego, California","Caicedonia, Valle de Cauca Department, Colombia",Medium-Light,60/78,$25.00/12 ounces,may-21,9.0,9.0,9.0,9.0,8.0,Tres Dragones Colombia,Bird Rock Coffee Roasters,94.0,,
"Branford, Connecticut","Boquete growing region, western Panama",Medium-Light,58/76,$32.99/16 ounces,may-21,9.0,9.0,9.0,9.0,8.0,Panama Elida Estate Catuaí Natural ASD,Willoughby's Coffee & Tea,94.0,,
"Taipei, Taiwan","Sidama growing region, southern Ethiopia",Medium-Light,56/72,NT $650/8 ounces,may-21,9.0,8.0,9.0,9.0,8.0,Ethiopia Guji Natural Anaerobic Wush Wush G1,De Clieu Coffee,93.0,,
"Hsinchu, Taiwan","Villa Rica, Oxapampa Province, Peru",Medium-Light,55/74,NT $2200/16 ounces,may-21,9.0,9.0,8.0,9.0,8.0,Peru Yanesha Geisha Double-Anaerobic,Fumi Coffee,93.0,,
"Orlando, Florida","Boquete growing region, western Panama",Medium-Light,58/80,$14.74/16 ounces,may-21,9.0,8.0,9.0,9.0,8.0,Elida Natural ASD (Panama),Geisha Coffee Roaster,93.0,,
"Tijuana, Mexico","Quindio Department, Colombia",Medium-Light,62/78,500 pesos/200 grams,may-21,9.0,9.0,8.0,9.0,8.0,Pink Bourbon Natural Anaerobic Colombia,Ilustre Specialty Coffees,93.0,,
"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium,48/64,NT $500/225 grams,may-21,9.0,8.0,8.0,9.0,9.0,Ethiopia Oromia Anaerobic Natural,Nine Point Coffee,93.0,,
"Topeka, Kansas","Pasto, Nariño Department, Colombia",Medium-Light,58/78,$20.00/12 ounces,may-21,9.0,8.0,9.0,9.0,8.0,Villa Loyola Carbonic Maceration,PT's Coffee Roasting Co.,93.0,,
"Carlsbad, California","Cauca Department, Colombia",Medium-Light,58/76,$30.00/12 ounces,may-21,9.0,9.0,8.0,9.0,8.0,Castillo El Paraiso,Steady State Roasting,93.0,,
"Kaohsiung City, Taiwan","Yirgachefffe growing region, southern Ethiopia",Medium-Light,56/76,NT $450/227 grams,may-21,9.0,,9.0,9.0,8.0,Ethiopia Yirgacheffe Israel Degfa Natural Gr.1,CofFeeling,94.0,9.0,
"Kaohsiung City, Taiwan",Colombia; Guatemala,Medium-Light,56/72,NT $400/227 grams,may-21,9.0,,8.0,9.0,8.0,Sweet Collection Blend,CofFeeling,93.0,9.0,
"Kaohsiung City, Taiwan","Coban, Guatemala",Medium-Light,58/74,NT $330/227 grams,may-21,9.0,,8.0,9.0,8.0,Guatemala Coban Finca Valmar,CofFeeling,92.0,8.0,
"Kaohsiung City, Taiwan","Caldas, Colombia",Medium-Light,54/74,NT $250/227 grams,may-21,9.0,,8.0,8.0,8.0,Colombia Caldas Finca Villa Clara Supremo,CofFeeling,92.0,9.0,
"Jersey City, New Jersey","Boquete growing region, western Panama",Medium-Light,59/77,$60.00/150 grams,may-21,9.0,9.0,9.0,10.0,9.0,Panama Elida Estate Washed,modcup coffee,96.0,,
"Taipei, Taiwan",Guatemala; Nicaragua; Ethiopia; Costa Rica; Indonesia; Brazil ,Medium-Light,54/70,$10.00/16 ounces,may-21,9.0,,9.0,8.0,8.0,The World Espresso Blend,Euphora Coffee,93.0,9.0,
"Taipei, Taiwan","Sidamo growing region, south-central Ethiopia",Medium-Light,58/80,$10.00/8 ounces,may-21,9.0,8.0,9.0,9.0,8.0,Ethiopia Sidamo Euphora Special Lot,Euphora Coffee,93.0,,
"Mendocino, California","Jaramillo, Boquete growing region, western Panama",Medium-Light,52/70,$45.00/12 ounces,may-21,8.0,8.0,9.0,9.0,8.0,Finca Lerida Gesha Natural,Thanksgiving Coffee Company,92.0,,
"Glendale, California","Yirgacheffe growing region, southern Ethiopia",,0/0,$11.00/375 ml. flask,may-21,9.0,,8.0,9.0,9.0,Bourbon Barrel Aged Ethiopia Cold Brew,Regent Coffee,94.0,9.0,
"Glendale, California","Nyeri growing region, south-central Kenya",,0/0,$11.00/375 ml. flask,may-21,9.0,,8.0,9.0,9.0,Bourbon Barrel Aged Kenya Cold Brew,Regent Coffee,93.0,8.0,
"Tochigi, Japan","Guji Zone, Oromia Region, southern Ethiopia",Light,63/81,¥1280/100 grams,may-21,8.0,9.0,8.0,9.0,8.0,Ethiopia Guji Uraga Yabitu,Sunny's Coffee,92.0,,
"Tochigi, Japan","Guji Zone, Oromia Region, southern Ethiopia",Light,66/84,¥1280/100 grams,may-21,8.0,8.0,8.0,9.0,8.0,Ethiopia Guji Hambela Dabaye,Sunny's Coffee,91.0,,
"Tochigi, Japan","Guji Zone, Oromia Region, southern Ethiopia",Light,62/82,¥1280/100 grams,may-21,8.0,8.0,8.0,8.0,8.0,Ethiopia Dry-Process Guji Hambela,Sunny's Coffee,90.0,,
"Tochigi, Japan","Yirgacheffe growing region, southern Ethiopia",Light,64/82,¥1280/100 grams,may-21,8.0,8.0,8.0,9.0,7.0,Ethiopia Dry-Process Benti Nenka,Sunny's Coffee,90.0,,
"Charlotte, North Carolina","Banz, Jiwaka Province, Papua New Guinea",Medium-Light,54/72,$16.00/12 ounces,may-21,8.0,8.0,9.0,9.0,8.0,Papua New Guinea Tsekaka,Magnolia Coffee,92.0,,
"Minneapolis, Minnesota","Kainaliu, Kona, Big Island of Hawai’i",Medium-Light,58/82,$29.95/4 ounces,April 2021,9.0,9.0,9.0,9.0,8.0,Kona Maragogype Natural,Paradise Roasters,94.0,,
"Minneapolis, Minnesota","Nan Province, Thailand",Medium,48/64,$16.95/12 ounces,April 2021,9.0,,8.0,9.0,8.0,Thung Chang Robusta Honey Espresso,Paradise Roasters,92.0,8.0,
"Minneapolis, Minnesota","Nan Province, Thailand",Medium,48/64,$16.95/12 ounces,April 2021,9.0,7.0,8.0,9.0,7.0,Thung Chang Robusta Honey,Paradise Roasters,90.0,,
"Santa Rosa Beach, Florida","Tolima, Colombia",Medium-Light,59/77,$20.00/12 ounces,April 2021,9.0,9.0,8.0,9.0,8.0,Colombia Jorge Eli Dussan,Amavida Coffee Roasters,93.0,,
"Taipei, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium-Light,60/74,NT $400/8 ounces,April 2021,9.0,8.0,9.0,9.0,8.0,Ethiopia Kochere G1,David's Nose,93.0,,
"Taipei, Taiwan","Oromia growing region, southern Ethiopia",Light,62/80,NT $600/225 grams,April 2021,9.0,9.0,8.0,9.0,8.0,Ethiopia Limu Washed,Jade Cafe,93.0,,
"Taipei, Taiwan",Ethiopia; Nicaragua; Guatemala,Medium-Light,58/76,NT $450/8 ounces,April 2021,8.0,,9.0,9.0,8.0,Life in Dihua Street Espresso Blend,David's Nose,93.0,9.0,
"Chia-Yi, Taiwan","Nakuru County, Kenya",Medium-Light,56/78,NT $210/8 ounces,April 2021,9.0,,9.0,9.0,9.0,Kenya Washed Nakuru Gachombe Factory AB,Kakalove Cafe,95.0,9.0,
"Chia-Yi, Taiwan","Guji Zone, Oromia Region, Ethiopia",Light,62/84,NT $375/8 ounces,April 2021,9.0,9.0,9.0,9.0,9.0,Ethiopia Natural Guji Hambella Wate Peaberry,Kakalove Cafe,95.0,,
