Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,Name,Roaster,Rating,With Milk,Acidity
"Minneapolis, Minnesota",Indonesia; Ethiopia,Medium,47/63,$18.95/12 ounces,January 2021,9.0,,8.0,9.0,8.0,Espresso Havana,Paradise Roasters,93.0,9.0,
"Taichung City, Taiwan","Taitung Luan Mountain, Taiwan",Medium-Light,60/78,NT $800/8 ounces,January 2021,8.0,8.0,9.0,9.0,8.0,Taiwan Taitung Luan Mountain Valley of Tears,MT49 Cafe,92.0,,
"Minneapolis, Minnesota","Tha Sae, Chumphon, Thailand",Medium,48/62,$16.95/12 ounces,January 2021,8.0,,8.0,9.0,7.0,Thailand Robusta Panid Choosit Espresso,Paradise Roasters,91.0,9.0,
"Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Light,62/80,NT $350/8 ounces,January 2021,9.0,9.0,9.0,9.0,8.0,Kenya Nyeri Muchoki Estate AA,Kakalove Cafe,94.0,,
"Minneapolis, Minnesota","Tha Sae, Chumphon, Thailand",Medium-Light,56/70,$16.95/12 ounces,January 2021,8.0,8.0,8.0,9.0,7.0,Thailand Robusta Panid Choosit,Paradise Roasters,90.0,,
"Taoyuan City, Taiwan",Columbia; Guatemala; Brazil,Medium-Light,60/78,NT $450/460 grams,January 2021,9.0,8.0,9.0,9.0,8.0,Bright House Signature Coffee,Red Bean Coffee,93.0,,
"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,60/76,NT $300/8 ounces,January 2021,9.0,9.0,8.0,9.0,8.0,Ethiopia Uraga Dambi Uddo Wet-Fermented,Kakalove Cafe,93.0,,
"Taoyuan City, Taiwan","Sun Moon Lake, Taiwan",Light,62/80,NT $1500/230 grams,January 2021,9.0,8.0,8.0,9.0,8.0,Guoxing Taiwan Coffee,Red Bean Coffee,92.0,,
"Viroqua, Wisconsin","Chirinos, Cajamarca Region, Peru",Medium-Light,59/77,$20.00/6 ounces,January 2021,9.0,8.0,9.0,9.0,8.0,Peru El Corazon Gesha,Wonderstate Coffee,93.0,,
"Hong Kong, China",Panama; Ethiopia; Kenya,Medium-Light,56/74,HKD $118/200 grams,January 2021,9.0,,9.0,9.0,9.0,Fruity Espresso Blend,NINETYs Roastery,95.0,9.0,
"Taipei, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium-Light,56/76,NT $600/200 grams,January 2021,9.0,9.0,9.0,9.0,8.0,Ethiopia Yirgacheffe Cleopatra Natural,Quartet Kaffe,94.0,,
"Taipei, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Medium-Light,57/74,NT $520/200 grams,January 2021,9.0,9.0,8.0,9.0,8.0,Ethiopia Hambela Benti G1 Washed,Quartet Kaffe,93.0,,
"Taipei, Taiwan","Alishan, Taiwan",Medium-Light,60/78,NT $900/100 grams,January 2021,9.0,9.0,8.0,9.0,8.0,Taiwan Alluring Scent Estate Natural,Quartet Kaffe,93.0,,
"San Antonio, Texas","Central Plateau, Blue Pine Forest, Haiti",Medium,46/60,$20.00/12 ounces,January 2021,8.0,7.0,8.0,8.0,7.0,Revolution Medium Roast,Kafe 1804,88.0,,
"Yilan, Taiwan","San Cristobal Acasaguastlán, El Progreso Department, Guatemala",Light,62/80,"NT $1,000/200 grams",January 2021,9.0,9.0,8.0,9.0,8.0,Guatemala Sierra Roja Geisha,GK Coffee,93.0,,
"San Antonio, Texas","Central Plateau, Blue Pine Forest, Haiti",Medium-Dark,40/56,$21.00/12 ounces,January 2021,7.0,7.0,7.0,8.0,7.0,Independence Dark Roast,Kafe 1804,86.0,,
"Bozeman, Montana","Yirgacheffe growing region, southern Ethiopia",Medium-Light,57/73,$18.95/12 ounces,January 2021,9.0,9.0,9.0,9.0,8.0,Ethiopia Yirgacheffe Dumerso G1 Natural,RamsHead Coffee Roasters,94.0,,
"Bozeman, Montana","Acatenango, Guatemala",Medium-Light,58/76,$29.95/12 ounces,January 2021,9.0,9.0,8.0,9.0,8.0,Guatemala Acetenango Gesha Lot 2,RamsHead Coffee Roasters,93.0,,
